secret dist.,lambda,log q,usvp,est usvp,usvp_s,est usvp_s,usvp num,est num,bdd,est bdd,bdd_s,est bdd_s,bdd num,output,pow
Uniform (-1 1),80,43,1054,82,1061,82,1047,79,1060,81,1065,81,1031,1065,1024
Uniform (-1 1),100,34,1036,103,1041,104,1015,98,1055,104,1051,103,1005,1055,1024
Uniform (-1 1),110,32,1070,114,1073,114,1042,108,1090,114,1086,114,1034,1090,1024
Uniform (-1 1),120,29,1057,125,1056,125,1021,118,1076,126,1072,125,1014,1076,1024
Uniform (-1 1),128,27,1050,135,1045,134,1008,126,1067,135,1064,134,1001,1067,1024
Uniform (-1 1),140,25,1063,148,1052,147,1012,137,1076,148,1076,148,1006,1076,1024
Uniform (-1 1),80,1400,34247,83,32021,77,33754,80,34146,83,34384,83,32955,34384,32768
Uniform (-1 1),100,1100,33114,102,31762,98,32875,100,33346,103,33533,103,32374,33533,32768
Uniform (-1 1),110,1000,32873,112,31805,108,32681,110,33084,113,33375,114,32260,33375,32768
Uniform (-1 1),120,930,33117,122,32264,118,32935,120,33255,122,33689,124,32569,33689,32768
Uniform (-1 1),128,880,33244,130,32543,127,33058,129,33300,130,33861,132,32726,33861,32768
Uniform (-1 1),140,810,33207,142,32710,140,32999,140,33118,143,33874,146,32712,33874,32768
