secret dist.,lwe dim.,log q,hw,hybrid,est hybrid
SparseTernary,1024,35,128,105,99
SparseTernary,1024,27,128,141,127
SparseTernary,1024,20,128,181,168
SparseTernary,1024,36,192,107,100
SparseTernary,1024,29,192,140,126
SparseTernary,1024,20,192,216,188
SparseTernary,8192,200,128,127,128
SparseTernary,8192,119,128,196,195
SparseTernary,8192,87,128,239,243
SparseTernary,8192,210,192,127,128
SparseTernary,8192,128,192,205,203
SparseTernary,8192,91,192,274,280
SparseTernary,32768,850,128,122,125
SparseTernary,32768,500,128,190,193
SparseTernary,32768,330,128,254,255
SparseTernary,32768,850,192,126,128
SparseTernary,32768,565,192,188,191
SparseTernary,32768,410,192,248,249
