secret dist.,lwe dim.,lambda,hw,logq hybrid,est hybrid
SparseTernary,1024,100,128,34,102
SparseTernary,1024,100,192,36,100
SparseTernary,1024,128,128,26,132
SparseTernary,1024,128,192,28,131
SparseTernary,1024,192,128,17,194
SparseTernary,1024,192,192,19,197
SparseTernary,1024,256,128,14,238
SparseTernary,1024,256,192,15,249
SparseTernary,32768,80,128,1402,79
SparseTernary,32768,80,128,1360,81
SparseTernary,32768,80,192,450,231
SparseTernary,32768,80,192,1403,79
SparseTernary,32768,128,128,877,121
SparseTernary,32768,128,192,877,125
SparseTernary,32768,192,128,629,163
SparseTernary,32768,192,192,608,178
SparseTernary,32768,256,128,420,218
SparseTernary,32768,256,128,450,207
SparseTernary,32768,256,192,500,211
SparseTernary,32768,256,192,526,204
