secret dist.,lwe dim.,log q,usvp,usvp_s,usvp num,est usvp,bdd,bdd_s,bdd num,est bdd,output
Uniform (-1 0),1024,20,178,172,174,174,166,173,175,172,173
Uniform (-1 0),1024,24,145,142,144,144,138,142,144,142,142
Uniform (-1 0),1024,25,139,136,137,138,132,136,138,136,136
Uniform (-1 0),1024,26,133,130,132,132,127,130,132,130,130
Uniform (-1 0),1024,27,128,125,126,127,122,125,127,125,125
Uniform (-1 0),1024,28,123,120,122,122,117,120,122,120,120
Uniform (-1 0),1024,30,114,112,113,114,109,112,113,112,112
Uniform (-1 0),1024,33,103,101,102,103,99,101,102,101,101
Uniform (-1 0),1024,37,92,90,90,91,88,90,90,90,90
Uniform (-1 0),1024,42,81,80,78,80,77,79,79,79,79
