secret dist.,lambda,lwe dim.,log q,log2(std_e) usvp,est usvp,* log2(std_e) usvp,* est usvp,est calls usvp,log2(std_e) bdd,est bdd,* log2(std_e) bdd,* est bdd,est calls bdd,output
Uniform (-1 0),100,1024,32,0.33,102,-0.37,100,9,-0.19,98,0.21,100,5,0.21
Uniform (-1 0),100,1024,64,31.91,100,31.61,100,5,28.42,98,28.72,100,4,31.61
Uniform (-1 0),128,1024,32,6.93,128,6.73,128,4,6.38,126,6.78,128,5,6.78
Uniform (-1 0),128,1024,64,38.83,128,38.73,128,3,34.25,164,31.95,132,25,38.73
Uniform (-1 0),192,1024,32,15.46,192,15.46,192,2,13.64,188,13.94,192,4,15.46
Uniform (-1 0),192,1024,64,47.41,191,47.51,192,2,41.33,293,36.03,193,55,47.51
Uniform (-1 0),256,1024,32,20.06,255,20.16,257,2,17.25,301,16.35,276,11,20.16
Uniform (-1 0),256,1024,64,52.03,255,52.13,257,2,45.13,389,39.63,257,57,52.13
Uniform (-1 0),100,2048,32,27.18,854,-14.32,100,417,-14.19,99,-13.99,100,3,-13.99
Uniform (-1 0),100,2048,64,-1.11,101,-1.51,100,6,-1.45,99,-1.25,100,3,-1.25
Uniform (-1 0),128,2048,32,1.67,226,-9.13,128,110,-9.13,126,-8.93,128,3,-8.93
Uniform (-1 0),128,2048,64,12.21,129,11.81,128,6,11.28,127,11.58,128,4,11.81
Uniform (-1 0),192,2048,32,-2.08,193,-2.08,193,2,-2.12,190,-1.92,192,3,-1.92
Uniform (-1 0),192,2048,64,28.6,192,28.5,192,3,25.71,190,25.91,192,3,28.5
Uniform (-1 0),256,2048,32,5.26,256,5.26,256,2,4.92,253,5.22,256,4,5.26
Uniform (-1 0),256,2048,64,37.2,256,37.2,256,2,32.82,254,33.02,256,3,37.2
