secret dist.,lwe dim.,log q,usvp,usvp_s,usvp num,est usvp,bdd,bdd_s,bdd num,est bdd,output
Uniform (-1 0),2048,37,193,193,192,193,190,190,192,191,190
Uniform (-1 0),2048,46,152,152,151,152,150,150,151,150,150
Uniform (-1 0),2048,50,139,139,137,139,137,137,138,137,137
Uniform (-1 0),2048,53,130,130,129,130,129,129,129,129,129
Uniform (-1 0),2048,54,128,128,126,127,127,126,126,126,127
Uniform (-1 0),2048,57,121,121,119,120,119,119,119,119,119
Uniform (-1 0),2048,62,111,110,108,110,109,109,108,109,109
Uniform (-1 0),2048,67,102,102,99,101,101,101,100,100,101
Uniform (-1 0),2048,74,93,92,89,91,91,91,89,98,91
Uniform (-1 0),2048,84,82,81,78,80,80,80,78,79,80
