secret dist.,lwe dim.,log q,usvp,usvp_s,usvp num,est usvp,bdd,bdd_s,bdd num,est bdd,output
Uniform (-1 1),32768,650,180,179,177,179,179,179,177,181,179
Uniform (-1 1),32768,760,151,151,149,150,151,150,149,150,151
Uniform (-1 1),32768,810,140,140,138,140,141,140,138,141,140
Uniform (-1 1),32768,880,128,128,126,128,129,128,126,129,128
Uniform (-1 1),32768,930,121,121,119,120,121,120,119,120,121
Uniform (-1 1),32768,1000,112,112,110,111,112,112,110,111,112
Uniform (-1 1),32768,1050,106,106,104,106,107,106,104,106,106
Uniform (-1 1),32768,1200,93,93,90,92,93,92,90,92,93
Uniform (-1 1),32768,1400,80,80,77,79,80,79,77,80,80
Uniform (-1 1),32768,1500,75,75,72,74,75,74,72,74,75
